GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,R
Lineups,-201152-203107-203897-1628374-1630172-,T. Young - T. Satoransky - Z. LaVine - L. Markkanen - P. Williams,1610612741,CHI,9,3,6,0.333,87,115.9,116.7,110.7,111.1,5.2,5.6,0.671,2.04,22.2,0.256,0.717,0.514,0.156,0.594,0.617,99.8,99.3,82.75,180,0.543,351,833,14594,7835,109,4942,8516,5924,4593,1972,3555,5395,7358,5513,9840,4935,5325,10513,6028,0.91
Lineups,-203501-1629029-1629684-1630182-1641726-,T. Hardaway Jr. - L. Doncic - G. Williams - J. Green - D. Lively II,1610612742,DAL,12,9,3,0.75,63,126.5,123,129.2,126.1,-2.8,-3.2,0.733,3.38,23,0.231,0.716,0.504,0.096,0.64,0.652,100.4,103.12,85.94,135,0.533,265,164,14293,5070,204,5015,10720,8498,4918,1011,3774,7274,7412,6089,7849,4473,5052,8939,6575,0.9075
Lineups,-203101-203503-203507-203521-203953-,M. Plumlee - T. Snell - G. Antetokounmpo - M. Dellavedova - J. Parker,1610612749,MIL,14,6,8,0.429,137,104.6,104.3,101.7,102.1,2.9,2.2,0.652,1.47,19.9,0.235,0.715,0.508,0.185,0.56,0.587,97.8,97.72,81.44,276,0.534,282,436,12734,6685,81,5066,7191,5278,4254,3002,3566,5732,6209,4879,9320,4172,4632,8742,5257,0.9040000000000002
Lineups,-2037-202710-203476-1626145-1626157-,J. Crawford - J. Butler - G. Dieng - T. Jones - K. Towns,1610612750,MIN,17,10,7,0.588,77,118.7,111.3,113.1,114.3,5.6,-3,0.591,1.7,18.3,0.238,0.736,0.504,0.145,0.591,0.627,94.5,97.12,80.93,159,0.523,160,161,13585,5411,183,4656,8782,7390,5522,2762,4538,5886,6701,5284,8655,4209,4255,10108,5852,0.8954999999999999
Lineups,-201950-202703-202734-203076-203121-,J. Holiday - N. Mirotic - E. Moore - A. Davis - D. Miller,1610612740,NOP,18,11,7,0.611,51,103.8,100,101.1,100,2.8,0,0.622,2.33,18.3,0.208,0.661,0.446,0.105,0.495,0.534,104.8,107.36,89.46,114,0.559,140,120,13585,5265,327,5564,5959,5820,5055,1457,4542,6257,8360,8157,6924,7138,6495,5920,5276,0.8910000000000001
Lineups,-202329-203086-203459-203468-203894-,A. Aminu - M. Leonard - A. Crabbe - C. McCollum - S. Napier,1610612757,POR,10,6,4,0.6,81,116.1,111.1,110.7,106.2,5.5,4.9,0.515,1.67,16.9,0.185,0.833,0.511,0.13,0.603,0.634,91.6,95.56,79.63,162,0.539,533,436,11884,4928,191,4396,7490,5117,5574,2497,4583,6435,4106,4837,7387,3360,3682,9635,5171,0.8850000000000002
Lineups,-203115-203486-203999-1627736-1628420-,W. Barton - M. Plumlee - N. Jokic - M. Beasley - M. Morris,1610612743,DEN,16,8,8,0.5,49,106.7,105.9,122.7,120.6,-16,-14.6,0.581,1.32,17.6,0.34,0.627,0.49,0.188,0.55,0.562,97.8,99.01,82.51,101,0.426,152,228,14649,5932,340,5876,10048,8877,6247,3922,5533,3620,8998,7792,10942,5339,6406,11161,8056,0.8690000000000002
Lineups,-201150-201158-201196-201587-1626163-,S. Hawes - M. Belinelli - R. Sessions - N. Batum - F. Kaminsky,1610612766,CHA,16,5,11,0.313,61,112.2,110.8,109.8,106.8,2.4,4,0.808,2.8,23.5,0.13,0.681,0.444,0.115,0.572,0.619,101.3,103.42,86.18,130,0.545,214,597,12894,7515,270,4482,7551,5165,2536,1006,2151,7096,6693,7604,6828,3916,3988,6420,5098,0.8666666666666667
Lineups,-203932-203999-1628408-1629008-1630267-,A. Gordon - N. Jokic - P. Dozier - M. Porter Jr. - F. Campazzo,1610612743,DEN,10,8,2,0.8,115,113.3,113.5,121.3,118.4,-8.1,-4.9,0.676,2.15,21.1,0.212,0.802,0.51,0.135,0.58,0.609,102.1,103.28,86.07,244,0.482,271,139,11786,4880,67,5402,9416,8059,4584,1926,3811,6490,5549,5562,9017,5214,5548,8684,7153,0.8553333333333326
Lineups,-2546-101181-201167-201577-202498-,C. Anthony - J. Calderon - A. Afflalo - R. Lopez - L. Thomas,1610612752,NYK,28,14,14,0.5,103,107,104.6,100.4,97.3,6.5,7.3,0.512,1.07,15.7,0.226,0.743,0.518,0.189,0.557,0.609,98.7,101.42,84.52,217,0.523,60,90,12726,5175,127,4624,5712,4933,5612,3565,5373,5861,5796,4673,9163,4076,3995,7099,5524,0.8528333333333338
Lineups,-202339-203114-203503-203507-1627748-,E. Bledsoe - K. Middleton - T. Snell - G. Antetokounmpo - T. Maker,1610612749,MIL,17,11,6,0.647,99,115.3,112,109.2,109.2,6.1,2.8,0.605,1.86,18.1,0.302,0.728,0.511,0.135,0.543,0.585,99,100.44,83.7,208,0.537,160,120,13457,5183,130,4595,8294,5651,5150,2569,4783,4561,6796,5221,8095,5087,5243,8771,5638,0.84
Lineups,-203914-203924-203999-1627750-1628470-,G. Harris - J. Grant - N. Jokic - J. Murray - T. Craig,1610612743,DEN,13,11,2,0.846,110,112,110.9,113.1,112.4,-1.1,-1.5,0.708,1.84,21.8,0.275,0.79,0.551,0.167,0.59,0.616,96.5,97.28,81.07,221,0.504,189,78,10647,4392,81,5114,8338,7301,3887,2630,3043,5038,5442,4372,9572,4400,4774,11045,6156,0.8371666666666666
Lineups,-201599-202325-202699-203085-1627820-,D. Jordan - W. Johnson - T. Harris - A. Rivers - T. Wallace,1610612746,LAC,5,3,2,0.6,53,103.2,104.4,100.9,100.9,2.3,3.5,0.574,1.69,17.5,0.236,0.764,0.5,0.14,0.54,0.554,103.4,102.81,85.67,114,0.538,1378,1118,10414,5271,303,5364,7633,5610,5609,2768,4973,5900,5895,5290,8223,5137,6046,7804,5629,0.8270000000000001
Lineups,-200752-200765-201585-201956-203463-,R. Gay - R. Rondo - K. Koufos - O. Casspi - B. McLemore,1610612758,SAC,13,6,7,0.462,51,101.9,101.8,91,87.2,10.9,14.6,0.531,1.53,16.1,0.397,0.85,0.618,0.153,0.482,0.496,104.7,107.07,89.22,111,0.551,352,483,12379,6604,340,4810,4783,4350,5537,2650,5214,2978,3929,2664,7963,6343,7283,5133,5143,0.8265000000000002
Lineups,-201937-203967-1626164-1628969-1629028-,R. Rubio - D. Saric - D. Booker - M. Bridges - D. Ayton,1610612756,PHX,12,7,5,0.583,114,118.9,119.1,115.3,117.8,3.6,1.3,0.723,2.19,23.2,0.281,0.713,0.523,0.154,0.607,0.639,104.4,103.14,85.95,241,0.537,238,242,13263,5559,78,4217,8920,5723,3750,1554,2569,4988,6937,4951,8820,4074,4290,8788,5695,0.8213333333333334
Lineups,-202331-202704-1627826-1628379-1629611-,P. George - R. Jackson - I. Zubac - L. Kennard - T. Mann,1610612746,LAC,15,8,7,0.533,56,111,107.5,105.7,103.4,5.3,4.1,0.5,1.67,16,0.241,0.706,0.5,0.125,0.56,0.59,98.7,101.41,84.51,120,0.563,110,147,17218,7206,240,7050,9330,7104,8093,3599,7880,7544,8687,6616,9775,6432,6838,10655,6724,0.82
Lineups,-202692-203095-203944-1629628-1630579-,A. Burks - E. Fournier - J. Randle - R. Barrett - J. Sims,1610612752,NYK,14,7,7,0.5,57,100.2,99.2,99.4,93.7,0.8,5.5,0.558,1.71,14,0.311,0.815,0.523,0.113,0.451,0.493,101.5,105.04,87.54,124,0.477,129,212,17218,7220,232,9574,6768,6992,7782,3572,9207,5954,6280,6359,9511,9786,10459,8788,8564,0.8193333333333334
Lineups,-201950-202326-203076-203524-204025-,J. Holiday - D. Cousins - A. Davis - S. Hill - T. Frazier,1610612740,NOP,7,4,3,0.571,99,106,107.7,102.4,101.4,3.5,6.3,0.69,2.07,19.9,0.234,0.755,0.483,0.135,0.519,0.551,101.1,100.72,83.93,208,0.525,961,833,11121,5102,137,4767,7146,5015,3428,1441,3564,5738,5265,6903,7562,4849,5575,7510,5393,0.812
Lineups,-201949-202355-203585-204020-1626196-,J. Johnson - H. Whiteside - R. McGruder - T. Johnson - J. Richardson,1610612748,MIA,18,8,10,0.444,51,100.2,103.8,110.4,103.9,-10.2,-0.1,0.533,1.14,16.1,0.373,0.727,0.537,0.198,0.527,0.546,96.5,97.53,81.27,106,0.501,173,267,12848,6651,344,5109,7295,6780,5468,3509,5318,3114,6045,4372,9480,4731,5670,8826,5682,0.8056666666666666
Lineups,-202330-203469-1626179-1628984-1629023-,G. Hayward - C. Zeller - T. Rozier - D. Graham - P. Washington,1610612766,CHA,8,3,5,0.375,54,122.6,124,112.5,110.4,10.1,13.7,0.804,3.36,23,0.373,0.717,0.536,0.106,0.549,0.575,93.9,94.18,78.48,104,0.563,428,833,14449,7810,222,4237,8479,5252,3322,793,3141,3385,7359,5079,7863,5842,6356,12267,5650,0.804
Lineups,-203501-203915-1626174-1628467-1630182-,T. Hardaway Jr. - S. Dinwiddie - C. Wood - M. Kleber - J. Green,1610612742,DAL,9,6,3,0.667,51,91.7,94.1,90.2,88.3,1.5,5.7,0.613,1.06,14.8,0.154,0.768,0.472,0.178,0.487,0.524,97,96.7,80.58,101,0.527,402,280,15229,6054,282,10003,5578,6664,6754,4774,8516,8755,6740,9171,11755,9488,8975,12945,7110,0.7931666666666667
Lineups,-202692-203901-203944-1629011-1629628-,A. Burks - E. Payton - J. Randle - M. Robinson - R. Barrett,1610612752,NYK,12,6,6,0.5,92,100.3,101.5,108.4,104.1,-8.1,-2.6,0.547,1.37,15.6,0.262,0.788,0.527,0.155,0.503,0.529,100,101.37,84.47,194,0.468,172,254,14594,6055,103,6446,7861,7913,6715,3792,7094,5355,6011,5253,9834,6389,7504,9545,7381,0.7833333333333334
Lineups,-201937-1626157-1627736-1629020-1630162-,R. Rubio - K. Towns - M. Beasley - J. Vanderbilt - A. Edwards,1610612750,MIN,8,1,7,0.125,111,116.2,117.7,107.6,107.3,8.6,10.5,0.763,2.31,22.2,0.261,0.781,0.502,0.139,0.569,0.604,101.3,100.77,83.98,231,0.539,428,2861,14679,8617,74,4867,8126,5510,3690,1814,3556,5358,6091,5602,9099,5441,5643,9815,6072,0.7830000000000004
Lineups,-203991-203992-1628381-1629027-1629631-,C. Capela - B. Bogdanovic - J. Collins - T. Young - D. Hunter,1610612737,ATL,14,10,4,0.714,63,124.7,119.1,119.4,116.1,5.4,3.1,0.656,2.67,21.1,0.25,0.672,0.475,0.11,0.6,0.638,100.9,104.72,87.27,136,0.538,148,94,15955,5967,206,5775,9884,6890,6386,1642,4407,6537,8460,9126,8659,5589,5870,9143,6906,0.78
Lineups,-203200-203933-1626167-1627734-1628988-,J. Holiday - T. Warren - M. Turner - D. Sabonis - A. Holiday,1610612754,IND,8,4,4,0.5,51,100.7,101,107,105.4,-6.3,-4.5,0.625,1.92,17.2,0.271,0.737,0.5,0.124,0.475,0.508,101.4,102.01,85.01,105,0.458,541,642,12905,5655,250,5833,7651,7454,5169,2585,5227,5107,6507,5192,7563,7464,7399,9301,7051,0.7799999999999999
Lineups,-201936-202709-203926-1626167-1627734-,T. Evans - C. Joseph - D. McDermott - M. Turner - D. Sabonis,1610612754,IND,22,8,14,0.364,49,90,88.2,102.4,99.1,-12.5,-10.9,0.639,0.96,15.6,0.302,0.717,0.509,0.218,0.477,0.512,104.4,107.23,89.36,110,0.432,67,228,14813,7860,345,8792,6075,8592,5460,5876,6662,4941,7158,5422,11775,7898,7669,7587,7946,0.7783333333333331
Lineups,-201575-201937-202357-203952-1626157-,B. Rush - R. Rubio - N. Bjelica - A. Wiggins - K. Towns,1610612750,MIN,15,9,6,0.6,51,105.9,105.5,97.6,97.3,8.3,8.2,0.595,1.67,16.4,0.333,0.705,0.525,0.136,0.5,0.539,103.7,104.12,86.77,110,0.57,237,220,12479,4928,348,4976,5458,4866,4920,2497,5230,3306,6435,4601,7584,4985,5803,6161,4766,0.7683333333333332
Lineups,-2200-201565-201959-202710-203926-,P. Gasol - D. Rose - T. Gibson - J. Butler - D. McDermott,1610612741,CHI,27,14,13,0.519,69,111.8,107.7,103.2,100,8.6,7.7,0.509,1.93,14.6,0.235,0.697,0.497,0.099,0.504,0.559,95.2,98.58,82.15,142,0.563,65,90,12701,5171,238,4347,5788,4900,5616,2192,5805,5766,6442,6614,5851,4797,5135,8242,4961,0.7536666666666667
Lineups,-200752-200765-201158-201954-202326-,R. Gay - R. Rondo - M. Belinelli - D. Collison - D. Cousins,1610612758,SAC,26,13,13,0.5,108,111.1,109.3,106.1,104.3,5,5.1,0.687,2.19,19.8,0.25,0.67,0.456,0.126,0.56,0.574,105.7,107.49,89.57,247,0.562,72,109,12701,5175,121,4176,7562,5073,3481,1339,3590,5120,6629,7290,7006,4031,4708,4992,4983,0.7463333333333333
Lineups,-2403-2772-201569-201935-201976-,Nene - T. Ariza - E. Gordon - J. Harden - P. Beverley,1610612745,HOU,18,11,7,0.611,55,104.3,91.9,111.7,108.1,-7.4,-16.2,0.538,1.11,12.8,0.167,0.623,0.423,0.14,0.529,0.585,108.3,117.21,97.67,136,0.44,173,157,12638,4925,301,7203,7678,7905,5424,3555,6759,6552,7968,8185,7671,4700,4663,2985,6745,0.7360000000000007
Lineups,-203937-1626157-1629638-1629675-1630162-,K. Anderson - K. Towns - N. Alexander-Walker - N. Reid - A. Edwards,1610612750,MIN,43,30,13,0.698,153,113.5,110.8,117.1,114.5,-3.6,-3.7,0.656,1.87,18.5,0.276,0.732,0.502,0.135,0.557,0.601,101.1,103.51,86.26,334,0.496,7,6,15875,5367,53,6583,9148,8557,6526,3602,6314,6201,7258,6095,9579,6283,6364,8758,7514,0.7333333333333334
Lineups,-202684-202689-203935-1627759-1628369-,T. Thompson - K. Walker - M. Smart - J. Brown - J. Tatum,1610612738,BOS,7,4,3,0.571,58,126,130.5,139.1,131.7,-13.1,-1.2,0.61,2.12,21.7,0.261,0.731,0.51,0.144,0.654,0.68,98.2,99.17,82.64,118,0.469,542,534,13478,5959,193,3550,10753,7839,5946,1951,3627,5360,7217,5555,9569,3845,3983,10540,7368,0.728
Lineups,-2548-203482-204020-1626196-1628389-,D. Wade - K. Olynyk - T. Johnson - J. Richardson - B. Adebayo,1610612748,MIA,13,6,7,0.462,78,101.3,101.2,103.1,97.6,-1.8,3.7,0.672,1.95,18.1,0.256,0.763,0.5,0.128,0.479,0.523,98.5,101.33,84.44,164,0.517,255,398,14568,7539,178,6181,6023,6030,4395,2821,5325,5594,6091,5473,8717,7879,7343,10221,6342,0.7206666666666668
Lineups,-200752-201158-201954-201956-202326-,R. Gay - M. Belinelli - D. Collison - O. Casspi - D. Cousins,1610612758,SAC,23,13,10,0.565,59,111.3,106,97.9,94.7,13.4,11.3,0.736,2.29,21.9,0.118,0.762,0.474,0.128,0.579,0.615,103.1,107.46,89.55,133,0.607,99,109,12610,5074,289,4514,5523,4596,3171,1275,2521,7250,5098,6912,7037,3709,3854,4997,4355,0.714666667
